CP (nb=3) {{[2293:2239|0,00] r100} {[5024:1621|0,00] r100} {[3661:3842|0,00] r100}}
SAILORS (nb=19)
SHIP {pos=[1008:1819|0,00] nbO=16 nbR=1 nbS=1 nbW=1}
---------------------------------------------------------------------------------------------
=================================== | TARGETED CHECKPOINT : {[2293:2239|0,00] r100}
shipPos = [  1008 :  1819 |  0,00 ] | nbOars = 7 : 6 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  1142 :  1806 | -0,20 ] | nbOars = 8 : 8 | ----------------------------- | R =  0,48 | ----- | --------------------- |
shipPos = [  1305 :  1812 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  1464 :  1858 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  1622 :  1903 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  1781 :  1949 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  1939 :  1995 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
******* NEW VISIBLE ENTITIES ****** | Reef{[3193:2467|0,00] Circle[r=250]} !
shipPos = [  2098 :  2040 |  0,28 ] | nbOars = 8 : 8 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  2256 :  2086 |  0,28 ] | nbOars = 7 : 7 | nbSails = 1 Opened : 0 Closed | R =  0,79 | ----- | --------------------- |
=================================== | NEW TARGETED CHECKPOINT : {[5024:1621|0,00] r100}
shipPos = [  2367 :  2173 |  1,07 ] | nbOars = 8 : 6 | ----------------------------- | R = -0,79 | ----- | --------------------- |
shipPos = [  2487 :  2236 | -0,11 ] | nbOars = 8 : 7 | ----------------------------- | --------- | ----- | --------------------- |
shipPos = [  2638 :  2204 | -0,31 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,28 | ----- | --------------------- |
******* NEW VISIBLE ENTITIES ****** | Stream{[3806:3151|4,54] str=10 Rect[w=200:h=1000|o=0,00]} !Stream{[4172:2287|0,00] str=10 Rect[w=200:h=1000|o=0,00]} !
shipPos = [  2788 :  2163 | -0,22 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
shipPos = [  2938 :  2129 | -0,22 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
******* NEW VISIBLE ENTITIES ****** | Reef{[4262:1789|0,73] Rect[w=500:h=150|o=0,00]} !
shipPos = [  3089 :  2096 | -0,22 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,40 | ----- | --------------------- |
shipPos = [  3243 :  2077 | -0,01 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,21 | ----- | --------------------- |
shipPos = [  3397 :  2076 |  0,00 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
******* NEW VISIBLE ENTITIES ****** | Reef{[4169:3084|0,61] Poly{ o=0,00 | Pts[200:-350] Pts[300:150] Pts[-300:150] }} !Reef{[3481:3229|0,65] Poly{ o=0,00 | Pts[150:150] Pts[-150:50] Pts[0:-200] }} !
shipPos = [  3552 :  2077 |  0,00 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
shipPos = [  3707 :  2078 |  0,00 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
shipPos = [  3861 :  2078 |  0,00 ] | nbOars = 8 : 7 | ----------------------------- | R =  0,20 | ----- | --------------------- |
