shipPos = [   147 :  1267 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   107 :  1342 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [    67 :  1417 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [    27 :  1492 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -13 :  1567 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -53 :  1642 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -93 :  1717 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -133 :  1792 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -172 :  1867 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -212 :  1942 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -252 :  2017 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -292 :  2092 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -332 :  2167 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -372 :  2242 |  2,06 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -361 :  2351 |  1,27 ] | nbOars = 5 : 5 | nbSails = 1 Opened : 0 Closed | R = -0,13 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -294 :  2527 |  1,14 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -214 :  2702 |  1,14 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [  -133 :  2876 |  1,14 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [   -52 :  3051 |  1,14 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
shipPos = [    29 :  3225 |  1,14 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s=  65 |
