shipPos = [  7103 :  1742 |  2,51 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,79 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6922 :  1794 |  3,29 ] | nbOars = 5 : 5 | nbSails = 0 Opened : 1 Closed | R =  0,27 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6764 :  1748 |  3,56 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,04 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[5658:1172|2,44] str=35 Rect[w=200:h=2000|o=0,00]} !
shipPos = [  6614 :  1678 |  3,60 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6467 :  1603 |  3,61 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6320 :  1528 |  3,62 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,41 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6163 :  1483 |  3,21 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,06 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5998 :  1476 |  3,15 ] | nbOars = 5 : 5 | nbSails = 1 Opened : 0 Closed | R = -0,02 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5833 :  1477 |  3,13 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5666 :  1479 |  3,13 ] | nbOars = 5 : 3 | ----------------------------- | R = -0,68 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5527 :  1604 |  1,81 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,07 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5469 :  1880 |  1,74 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5422 :  2159 |  1,73 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | 
******* NEW VISIBLE ENTITIES ****** | Reef{[4263:3027|0,00] Poly{ o=0,00 | Pts[186:236] Pts[132:670] Pts[-5:689] Pts[-115:560] Pts[-267:-152] Pts[-114:-632] Pts
shipPos = [  5377 :  2439 |  1,73 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5333 :  2719 |  1,73 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
=================================== | NEW TARGETED CHECKPOINT : {[8690:10117|0,00] r150}
shipPos = [  5288 :  2999 |  1,73 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,23 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[6147:7148|1,06] str=20 Rect[w=400:h=7000|o=0,00]} !
shipPos = [  5276 :  3283 |  1,50 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5296 :  3567 |  1,50 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5317 :  3851 |  1,50 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,04 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5342 :  4134 |  1,46 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5373 :  4417 |  1,46 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,02 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5406 :  4699 |  1,45 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,04 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5447 :  4980 |  1,40 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,42 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5547 :  5235 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5694 :  5455 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5841 :  5676 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5987 :  5897 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6134 :  6117 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6281 :  6338 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6428 :  6558 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6574 :  6779 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6721 :  7000 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6868 :  7220 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7015 :  7441 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7162 :  7662 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7308 :  7882 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7455 :  8103 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[8286:9453|-2,15] str=45 Rect[w=200:h=1000|o=0,00]} !
shipPos = [  7602 :  8323 |  0,98 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,20 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7729 :  8562 |  1,18 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,05 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7827 :  8821 |  1,23 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,02 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7917 :  9085 |  1,25 ] | nbOars = 5 : 1 | ----------------------------- | R =  0,79 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[8944:9883|0,00] Rect[w=150:h=350|o=0,00]} !
shipPos = [  8020 :  9255 |  0,78 ] | nbOars = 1 : 5 | ----------------------------- | R = -0,79 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8124 :  9424 |  1,25 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,54 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[10469:10000|5,92] Rect[w=1300:h=2500|o=0,00]} !Reef{[9283:10664|5,71] Rect[w=1200:h=500|o=0,00]} !
shipPos = [  8266 :  9642 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8431 :  9775 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8595 :  9904 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
=================================== | NEW TARGETED CHECKPOINT : {[15939:13503|0,00] r350}
shipPos = [  8779 : 10065 |  0,72 ] | nbOars = 0 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8790 : 10237 |  2,29 ] | nbOars = 2 : 3 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8669 : 10339 |  2,60 ] | nbOars = 5 : 2 | ----------------------------- | R = -0,71 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8632 : 10532 |  0,96 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[9772:11361|2,97] str=70 Rect[w=200:h=1000|o=0,00]} !
shipPos = [  8784 : 10747 |  0,96 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  8935 : 10962 |  0,96 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,24 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9105 : 11151 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9289 : 11311 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9414 : 11481 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9581 : 11645 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9765 : 11805 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9949 : 11965 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10133 : 12126 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10317 : 12286 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10501 : 12446 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10684 : 12606 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10868 : 12767 |  0,72 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
