shipPos = [  7344 :  1779 |  2,57 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[5867:3138|1,64] Rect[w=600:h=3200|o=0,00]} !
shipPos = [  7150 :  1902 |  2,57 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,79 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6973 :  1940 |  3,36 ] | nbOars = 5 : 5 | nbSails = 0 Opened : 1 Closed | R =  0,35 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6821 :  1878 |  3,71 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,05 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6684 :  1787 |  3,75 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[5658:1172|2,44] str=35 Rect[w=200:h=2000|o=0,00]} !
shipPos = [  6549 :  1692 |  3,76 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,00 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6415 :  1596 |  3,76 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6281 :  1499 |  3,76 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,59 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6127 :  1447 |  3,17 ] | nbOars = 5 : 5 | nbSails = 1 Opened : 0 Closed | R = -0,10 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5960 :  1450 |  3,07 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,03 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5786 :  1464 |  3,05 ] | nbOars = 5 : 4 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5615 :  1508 |  2,73 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,79 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5448 :  1684 |  1,95 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,26 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5379 :  1956 |  1,69 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,03 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | 
******* NEW VISIBLE ENTITIES ****** | Reef{[4263:3027|0,00] Poly{ o=0,00 | Pts[186:236] Pts[132:670] Pts[-5:689] Pts[-115:560] Pts[-267:-152] Pts[-114:-632] Pts
shipPos = [  5349 :  2239 |  1,66 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5325 :  2522 |  1,65 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,00 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5302 :  2806 |  1,65 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
=================================== | NEW TARGETED CHECKPOINT : {[8690:10117|0,00] r150}
shipPos = [  5280 :  3090 |  1,65 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,16 | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[6147:7148|1,06] str=20 Rect[w=400:h=7000|o=0,00]} !
shipPos = [  5280 :  3374 |  1,49 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5303 :  3658 |  1,49 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5326 :  3941 |  1,49 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5349 :  4225 |  1,49 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,04 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5378 :  4508 |  1,45 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,03 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5417 :  4789 |  1,42 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,42 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5513 :  5046 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5657 :  5269 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5802 :  5493 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  5946 :  5716 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6090 :  5939 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6235 :  6162 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6379 :  6385 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6524 :  6609 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6668 :  6832 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6812 :  7055 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  6957 :  7278 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7101 :  7501 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7245 :  7725 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7390 :  7948 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Stream{[8286:9453|-2,15] str=45 Rect[w=200:h=1000|o=0,00]} !
shipPos = [  7534 :  8171 |  1,00 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,19 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7659 :  8411 |  1,18 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,03 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7759 :  8669 |  1,22 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7854 :  8931 |  1,23 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  7948 :  9192 |  1,23 ] | nbOars = 5 : 3 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[8944:9883|0,00] Rect[w=150:h=350|o=0,00]} !
shipPos = [  8081 :  9370 |  0,60 ] | nbOars = 5 : 5 | ----------------------------- | R =  0,13 | ----- | W: d= 1,57  #  s= 120 |
