InitShipPos : (0.0,0.0,ori=0.0) | ShipDeck : (4, 2) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=1, y=0}, Sl{id=3, x=1, y=1}]
[Oar(1,0), Oar(1,1), Oar(2,0), Oar(2,1), Oar(3,0), Oar(3,1)] | [CP{pos=(-200.0,1000.0)}, CP{pos=(500.0,1100.0)}]
[{Si:3,T:OAR},{Si:1,T:MOV,x:2,y:1},{Si:1,T:OAR},{Si:2,T:MOV,x:3,y:1},{Si:2,T:OAR}] | Ship(0.0,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(54.99999999999991,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(109.99999999999963,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(165.0000000000003,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(220.00000000000145,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(275.00000000000256,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(330.0000000000037,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(385.00000000000483,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(440.00000000000597,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(495.0000000000071,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(550.0000000000043,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(604.9999999999998,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(659.9999999999952,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(714.9999999999907,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(769.9999999999861,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
