Position{x=0.0, y=0.0, orientation=0.0}
Position{x=52.93255129340979, y=52.10755129340978, orientation=1.5707963267948943}
Position{x=0.8882140115877203, y=143.35098771177786, orientation=2.61799387799148}
Position{x=-52.10875121439721, y=234.0444241301459, orientation=1.5707963267948941}
Position{x=-0.06441393257446082, y=325.28786054851344, orientation=0.5235987755982949}
Position{x=19.722744527936758, y=396.8805993443122, orientation=2.094395102393186}
Position{x=-70.97069189043005, y=449.8775645702995, orientation=3.141592653589763}
Position{x=-123.90324318383848, y=501.98511586371063, orientation=1.5707963267948752}
Position{x=-71.85890590201397, y=593.2285522820772, orientation=0.5235987755982761}
Position{x=-52.071747441501365, y=664.8212910778744, orientation=2.0943951023931673}
Position{x=-142.76518385986714, y=717.8182563038631, orientation=3.1415926535897443}
Position{x=-195.6977351532745, y=769.925807597275, orientation=1.5707963267948566}
Position{x=-143.65339787144822, y=861.1692440156409, orientation=0.5235987755982574}
Position{x=-123.86623941093431, y=932.761982811438, orientation=2.0943951023931486}
Position{x=-214.55967582929904, y=985.7589480374288, orientation=3.1415926535897256}
Position{x=-267.4922271227057, y=1037.866499330842, orientation=1.570796326794838}
Position{x=-215.3846758292928, y=1090.7990506242495, orientation=-5.642708522657358E-14}
Position{x=-124.14123941092815, y=1038.7547133424207, orientation=-1.047197551196655}
Position{x=-33.44780299256347, y=985.7577481164304, orientation=-5.623626564421613E-14}
Position{x=57.79563342580711, y=1037.8020853982475, orientation=1.0471975511965423}
Position{x=148.48906984417772, y=1090.7990506242277, orientation=-5.634034905277474E-14}
Position{x=239.73250626254236, y=1038.7547133423989, orientation=-1.047197551196655}
Position{x=330.42594268090716, y=985.7577481164086, orientation=-5.623626564421613E-14}
Position{x=421.6693790992778, y=1037.8020853982257, orientation=1.0471975511965423}
