Position{x=0.0, y=0.0, orientation=0.0}
Position{x=52.93255129340979, y=52.10755129340978, orientation=1.5707963267948943}
Position{x=0.8882140115877203, y=143.35098771177786, orientation=2.61799387799148}
Position{x=-52.10875121439721, y=234.0444241301459, orientation=1.5707963267948941}
Position{x=-0.06441393257446082, y=325.28786054851344, orientation=0.5235987755982949}
Position{x=52.93255129341117, y=415.98129696688096, orientation=1.5707963267948941}
Position{x=0.8882140115891201, y=507.2247333852489, orientation=2.61799387799148}
Position{x=-52.10875121439581, y=597.918169803617, orientation=1.5707963267948941}
Position{x=-0.06441393257306105, y=689.1616062219847, orientation=0.5235987755982949}
Position{x=52.93255129341257, y=779.8550426403523, orientation=1.5707963267948941}
Position{x=0.8882140115905198, y=871.0984790587208, orientation=2.61799387799148}
Position{x=-18.89894444891963, y=942.6912178545192, orientation=1.0471975511965925}
Position{x=71.79449196944834, y=995.6881830805041, orientation=-6.158268339717665E-15}
Position{x=163.03792838781558, y=943.6438457986806, orientation=-1.0471975511966047}
Position{x=163.58792838781474, y=838.6025432908724, orientation=-2.094395102393202}
Position{x=163.0379283878139, y=733.5612407830644, orientation=-1.0471975511966047}
Position{x=253.7313648061812, y=680.5642755570778, orientation=-6.054184931159057E-15}
Position{x=344.9748012245486, y=628.5199382752543, orientation=-1.0471975511966047}
Position{x=345.524801224548, y=523.4786357674461, orientation=-2.094395102393202}
Position{x=290.5248012245469, y=428.21584135115836, orientation=-2.094395102393202}
Position{x=289.97480122454624, y=323.17453884335083, orientation=-1.0471975511966047}
Position{x=380.66823764291365, y=270.17757361736494, orientation=-6.054184931159057E-15}
Position{x=433.60078893632283, y=218.07002232395482, orientation=-1.5707963267949003}
Position{x=381.5564516545001, y=126.82658590558714, orientation=-2.6179938779914864}
Position{x=361.76929319398954, y=55.23384710978859, orientation=-1.0471975511965987}
Position{x=452.4627296123571, y=2.236881883803195, orientation=-5.898059818321144E-17}
Position{x=505.39528090576675, y=-49.870669409606585, orientation=-1.5707963267948943}
Position{x=453.3509436239446, y=-141.11410582797467, orientation=-2.61799387799148}
Position{x=433.56378516343466, y=-212.70684462377338, orientation=-1.0471975511965925}
Position{x=524.2572215818026, y=-265.70380984975816, orientation=6.158268339717665E-15}
Position{x=577.1897728752123, y=-213.59625855634803, orientation=1.5707963267949006}
Position{x=525.0822215818024, y=-160.6637072629381, orientation=3.1415926535897882}
Position{x=433.83878516343447, y=-108.61936998111608, orientation=2.0943951023932112}
Position{x=433.2887851634331, y=-3.5780674733082063, orientation=1.047197551196614}
Position{x=433.83878516343174, y=101.46323503449968, orientation=2.0943951023932112}
Position{x=343.1453487450638, y=154.46020026048456, orientation=3.1415926535897882}
Position{x=251.90191232669576, y=206.50453754230657, orientation=2.0943951023932112}
Position{x=251.35191232669408, y=311.54584005011424, orientation=1.047197551196614}
Position{x=251.9019123266926, y=416.5871425579218, orientation=2.0943951023932112}
Position{x=161.20847590832452, y=469.58410778390686, orientation=3.1415926535897882}
Position{x=69.96503948995635, y=521.628445065729, orientation=2.0943951023932112}
Position{x=69.41503948995457, y=626.6697475735372, orientation=1.047197551196614}
Position{x=69.96503948995273, y=731.7110500813453, orientation=2.0943951023932112}
Position{x=-20.728396928415375, y=784.7080153073305, orientation=3.1415926535897882}
Position{x=-130.7283969284151, y=784.7080153073305, orientation=3.1415926535897882}
Position{x=-221.97183334678317, y=836.7523525891528, orientation=2.0943951023932112}
Position{x=-222.52183334678486, y=941.7936550969608, orientation=1.047197551196614}
Position{x=-221.97183334678655, y=1046.8349576047685, orientation=2.0943951023932112}
Position{x=-312.66526976515445, y=1099.8319228307532, orientation=3.1415926535897882}
Position{x=-422.6652697651567, y=1099.8319228307532, orientation=3.1415926535897882}
Position{x=-513.9087061835248, y=1151.876260112575, orientation=2.0943951023932112}
