CP3 {P(50.0|1000.0|0.0),C50.0},d:43,E:[o0.0|o0.2|o1.0|o1.2|o2.0|o2.2|r3.1],S:[0,00|1,01|2,02|3,10]
 CP-{P(50.0|1000.0|0.0),C50.0} a:1.5208379310729538 A:[O0,M(0|0,2),O1,M(1|1,1),O2,M(2|2,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.003093749656201863 A:[O0,M(0|0,-2),O3,M(3|-1,2)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.003284315768844744 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0034998994489447315 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.00374577323216645 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.004028803200662548 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.004358100217940483 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.004746018957230161 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.005209742587401896 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.005773897037567171 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.006475070003424706 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.007370077532111774 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.00855218541161945 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.010185921463234321 A:[M(0|3,1),T0]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0 A:[O0,M(0|-3,-1),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(50.0|1000.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:-2.356194490192345 A:[O0,M(0|0,0),O1,M(1|0,-2),O2,M(2|0,-2)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:-1.2703103002302476 A:[O0,M(0|0,0),O1,M(1|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:-0.2514748204320706 A:[M(0|3,1),T0]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|-3,-1),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(500.0|-200.0|0.0),C50.0} a:0.0 A:[O0,M(0|0,0),O3,M(3|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:-2.356194490192345 A:[O0,M(0|0,0),O1,M(1|0,0),O2,M(2|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:-1.2861841159642236 A:[O0,M(0|0,0),O1,M(1|0,0)]
 CP-{P(-500.0|1250.0|0.0),C60.0} a:-0.25972826947018135 A:[M(0|3,1),T0]
