cp:[50,1000,0.0, C50.0, 500,-200,0.0, C50.0, -500,1250,0.0, C60.0] d:4,3 E:O0,0.,O0,2.,O1,0.,O1,2.,O2,0.,O2,2.,R3,1.,
0,0,0.0cc50,1000,0.0 S:[(0tt02), (1tt12), (2tt22), (3ft11)][M0,0,2, O0, M1,1,1, O1, M2,2,0, O2, M3,0,1]
53,52,1.6cc50,1000,0.0 S:[(0tt02), (1tt12), (2ft22), (3ft11)][O0, O1]
27,98,2.6cc50,1000,0.0 S:[(0tt02), (1ft12), (2ft22), (3ft11)][O0]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
1,105,3.1cc50,1000,0.0 S:[(0ft02), (1ft12), (2ft22), (3ft11)][]
