cp:[1600,350,0.0, C50.0, 345,1550,0.0, C50.0, 0,0,0.0, C70.0] d:11,5 E:O1,0.,O2,0.,O3,0.,O
0,0,0.0cc1600,350,0.0, C50.0 S:[(0tt14), (1tt24), (2tt10), (3tt34), (4ft21), (5tt20), (6ft
108,19,0.3cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), (
253,75,0.4cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), (
411,124,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), 
572,157,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), 
734,190,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), 
896,221,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10), 
1058,251,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10),
1220,281,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10),
1383,311,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2tt24), (3tt30), (4tt34), (5tt10),
1545,341,0.2cc1600,350,0.0, C50.0 S:[(0tt14), (1tt20), (2ff24), (3ff30), (4ff34), (5ff10),
1563,344,0.2cc345,1550,0.0, C50.0 S:[(0tt14), (1tt24), (2tt34), (3tt44), (4tt54), (5ft60),
1584,408,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
1463,505,2.6cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
1333,606,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
1212,719,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
1092,831,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
971,944,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), 
851,1058,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
733,1173,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
614,1287,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
496,1402,2.4cc345,1550,0.0, C50.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60),
377,1517,2.4cc0,0,0.0, C70.0 S:[(0tt14), (1tt24), (2tt34), (3tt44), (4tt54), (5tt64), (6tt
311,1499,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt
279,1356,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt
245,1194,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt
212,1033,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt
178,871,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt7
144,710,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt7
111,548,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt7
77,386,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt74
44,225,4.5cc0,0,0.0, C70.0 S:[(0tt14), (1tt20), (2tt34), (3tt40), (4tt54), (5tt60), (6tt74
