REGATTA.
Checkpoints :
Shipcount : 1,
Deck : 5x11

oar, X:1,Y:0

oar, X:2,Y:0

oar, X:3,Y:0

oar, X:4,Y:0

oar, X:5,Y:0

oar, X:6,Y:0

oar, X:7,Y:0

oar, X:8,Y:0

oar, X:9,Y:0

oar, X:1,Y:4

oar, X:2,Y:4

oar, X:3,Y:4

oar, X:4,Y:4

oar, X:5,Y:4

oar, X:6,Y:4

oar, X:7,Y:4

oar, X:8,Y:4

oar, X:9,Y:4

rudder, X:10,Y:4

sail, X:5,Y:2

ROUND 0:id:0,x:0,y:0,ac:null|id:1,x:0,y:1,ac:null|id:2,x:0,y:2,ac:null|id:3,x:0,y:3,ac:null|id:4,x:0,y:4,ac:null|id:5,x:1,y:0,ac:null|id:6,x:1,y:1,ac:null|id:7,x:1,y:2,ac:null|id:8,x:1,y:3,ac:null|id

ROUND 1:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:null|id:3,x:2,y:0,ac:null|id:4,x:3,y:4,ac:null|id:5,x:3,y:0,ac:null|id:6,x:4,y:3,ac:null|id:7,x:4,y:0,ac:null|id:8,x:5,y:4,ac:null|id

ROUND 2:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 3:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y:

ROUND 4:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y:

ROUND 5:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y:

ROUND 6:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

