CP (nb=3) {{[1500:300|0,00] r50} {[300:1500|0,00] r50} {[0:0|0,00] r70}}
SAILORS (nb=20) {S{0[0:0]} S{1[0:1]} S{2[0:2]} S{3[0:3]} S{4[0:4]} S{5[1:0]} S{6[1:1]} S{7[1:2]} S{8[1:3]} S{9[1:4]} S{10[2:0]} S{11[2:1]} S{12[2:2]} S{13[2:3]} S{14[2:4]} S{15[3:0]} S{16[3:1]} S{17[
SHIP {pos=[0:0|0,00] nbO=18 nbR=1 nbS=1 nbW=0}
---------------------------------------------------------------------------------------------
=================================== | TARGETED CHECKPOINT : {[1500:300|0,00] r50}
******* NEW VISIBLE ENTITIES ****** | [Stream{[500:0|0,00] str=40 Rect[w=300:h=600|o=0,00]} , Stream{[780:780|-0,52] str=80 Rect[w=300:h=900|o=0,00]} ] 
shipPos = [     0 :     0 |  0,00 ] | nbOars = 8 : 8 | nbSails = 1 Opened : 0 Closed | --------- | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   150 :     0 |  0,00 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,22 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   346 :    18 |  0,22 ] | nbOars = 9 : 9 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   544 :    39 |  0,04 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,22 | ----- | W: d= 0,00  #  s=   3 |
******* NEW VISIBLE ENTITIES ****** | [Stream{[1250:1250|3,36] str=80 Rect[w=250:h=900|o=0,00]} ] 
shipPos = [   750 :    65 |  0,27 ] | nbOars = 9 : 9 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   918 :    93 |  0,09 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,25 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1082 :   129 |  0,34 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,05 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1239 :   189 |  0,39 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,01 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1394 :   254 |  0,40 ] | nbOars = 4 : 9 | nbSails = 0 Opened : 1 Closed | --------- | ----- | W: d= 0,00  #  s=   3 |
=================================== | NEW TARGETED CHECKPOINT : {[300:1500|0,00] r50}
shipPos = [  1473 :   327 |  1,10 ] | nbOars = 9 : 9 | nbSails = 1 Opened : 0 Closed | R =  0,79 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1487 :   488 |  1,89 ] | nbOars = 9 : 9 | nbSails = 0 Opened : 1 Closed | R =  0,55 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1397 :   623 |  2,44 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,03 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1269 :   728 |  2,47 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1140 :   831 |  2,47 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [  1011 :   934 |  2,47 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   881 :  1036 |  2,47 ] | nbOars = 9 : 9 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   746 :  1139 |  2,29 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,17 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   627 :  1253 |  2,46 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,03 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   497 :  1354 |  2,49 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,01 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   365 :  1453 |  2,51 ] | nbOars = 1 : 9 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=   3 |
=================================== | NEW TARGETED CHECKPOINT : {[0:0|0,00] r70}
shipPos = [   287 :  1456 |  3,73 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,79 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   197 :  1323 |  4,51 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,05 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   168 :  1160 |  4,56 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   144 :   997 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [   121 :   834 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [    97 :   670 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [    73 :   507 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [    50 :   344 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s=   3 |
shipPos = [    26 :   181 |  4,57 ] | nbOars = 9 : 9 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s=   3 |
