CP (nb=8) {{[300:1800|0,00] r150} {[1900:3800|0,00] r150} {[2000:5240|0,00] r150} {[3600:5160|0,00] r150} {[3300:3500|0,00] r150} {[2400:2000|0,00] r150} {[1800:360|0,00] r150} {[360:320|0,00] r150}}
SAILORS (nb=7)
SHIP {pos=[360:320|1,57] nbO=4 nbR=1 nbS=1 nbW=1}
---------------------------------------------------------------------------------------------
=================================== | TARGETED CHECKPOINT : {[300:1800|0,00] r150}
******* NEW VISIBLE ENTITIES ****** | Reef{[1172:1548|0,00] Poly{ o=0,00 | Pts[28:-748] Pts[568:-48] Pts[68:712] Pts[-252:332] Pts[-412:-248] }} !
******* NEW VISIBLE ENTITIES ****** | Reef{[1655:114
shipPos = [   360 :   320 |  1,57 ] | nbOars = 2 : 2 | nbSails = 1 Opened : 0 Closed | R = -0,06 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   365 :   489 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   375 :   663 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   386 :   837 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   397 :  1011 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   407 :  1184 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   418 :  1358 |  1,51 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   429 :  1532 |  1,51 ] | nbOars = 2 : 2 | nbSails = 0 Opened : 1 Closed | R =  0,51 | ----- | W: d= 0,00  #  s= 150 |
=================================== | NEW TARGETED CHECKPOINT : {[1900:3800|0,00] r150}
shipPos = [   398 :  1692 |  2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s= 150 |
******* NEW VISIBLE ENTITIES ****** | Reef{[1876:2096|0,00] Poly{ o=0,00 | Pts[-136:-596] Pts[164:-336] Pts[324:64] Pts[284:704] Pts[-636:164] }} !
******* NEW VISIBLE ENTITIES ****** | Reef{[1950:30
