InitShipPos : (360.0, 320.0, ori=1.57) | ShipDeck : (4, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(1,2), Oar(2,2), Rudder(3,1), Watch(0,1), Sail(1,1)] | [CP{pos=(300.0, 1800.0)}, CP{pos=(1900.0, 3800.0)}, CP{pos=(2000.0, 5240.0)}, CP{pos=(3600.0, 5160.0)}, CP{pos=(3300.0, 3
Ship(360.0, 320.0, ori=1.57) | CP{pos=(300.0, 1800.0)} [{Si:4,T:MOV,xd:2,yd:0},{Si:4,T:TURN,rotation:0.04051467927324315},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:MOV,xd:2,yd:0},{Si:2,T:OAR},{Si
Ship(356.7, 485.0, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(350.0, 649.8, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(343.3, 814.7, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(336.6, 979.5, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(330.0, 1144.4, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(323.3, 1309.3, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(316.6, 1474.1, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(309.9, 1639.0, ori=1.61) | CP{pos=(300.0, 1800.0)} [{Si:4,T:TURN,rotation:0.020928279809439454},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(301.5, 1803.8, ori=1.63) | CP{pos=(1900.0, 3800.0)} [{Si:4,T:TURN,rotation:-0.7366513877597212},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:1,T:USE_WATCH}]
Ship(349.7, 1957.7, ori=0.9) | CP{pos=(1900.0, 3800.0)} [{Si:4,T:TURN,rotation:-0.024351933982256546},{Si:1,T:MOV,xd:1,yd:0},{Si:1,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:
Ship(514.7, 2158.8, ori=0.87) | CP{pos=(1900.0, 3800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(683.2, 2359.0, ori=0.87) | CP{pos=(1900.0, 3800.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
