Current Pos:x=360.0,y=320.0,orientation=1.5708
Current Pos:x=356.6908057361165,y=484.95552671601666,orientation=1.6113146792732402
Current Pos:x=350.0071067400658,y=649.8201019519638,orientation=1.6113146792732402
Current Pos:x=343.3234077440151,y=814.6846771879109,orientation=1.6113146792732402
Current Pos:x=336.63970874796445,y=979.549252423858,orientation=1.6113146792732402
Current Pos:x=329.95600975191377,y=1144.413827659805,orientation=1.6113146792732402
Current Pos:x=323.2723107558631,y=1309.2784028957522,orientation=1.6113146792732402
Current Pos:x=316.5886117598124,y=1474.1429781316992,orientation=1.6113146792732402
Current Pos:x=309.06077241839114,y=1638.970429858778,orientation=1.6216600572295847
Current Pos:x=304.8663237932402,y=1721.3637342028328,orientation=1.6216600572295847
Current Pos:x=340.4879481933895,y=1837.2112434717505,orientation=0.9162554754788153
Current Pos:x=496.53384415047896,y=2040.5563695282522,orientation=0.9162554754788153
Current Pos:x=652.5797401075736,y=2243.901495584754,orientation=0.9162554754788153
Current Pos:x=808.6256360646687,y=2447.2466216412554,orientation=0.9162554754788153
Current Pos:x=964.6715320217638,y=2650.591747697757,orientation=0.9162554754788153
Current Pos:x=1120.717427978859,y=2853.9368737542586,orientation=0.9162554754788153
Current Pos:x=1276.763323935954,y=3057.28199981076,orientation=0.9162554754788153
Current Pos:x=1432.8092198930492,y=3260.627125867262,orientation=0.9162554754788153
Current Pos:x=1588.8551158501443,y=3463.9722519237635,orientation=0.9162554754788153
Current Pos:x=1744.9010118072395,y=3667.317377980265,orientation=0.9162554754788153
Current Pos:x=1900.9469077643346,y=3870.6625040367667,orientation=0.9162554754788153
Current Pos:x=1949.413093642333,y=4021.2480413384633,orientation=1.701653638876259
Current Pos:x=1927.8832051192962,y=4184.837356087887,orientation=1.701653638876259
Current Pos:x=1906.3533165962594,y=4348.426670837312,orientation=1.701653638876259
Current Pos:x=1884.8234280732227,y=4512.015985586736,orientation=1.701653638876259
Current Pos:x=1863.2935395501859,y=4675.60530033616,orientation=1.701653638876259
Current Pos:x=1841.763651027149,y=4839.194615085585,orientation=1.701653638876259
Current Pos:x=1856.425207634113,y=4960.743200414125,orientation=1.1947842209362334
Current Pos:x=1917.0155363688375,y=5114.215712818857,orientation=1.1947842209362334
Current Pos:x=1947.3107007361998,y=5190.951969021224,orientation=1.1947842209362334
Current Pos:x=2011.5569115807118,y=5234.350616790498,orientation=-0.018726055178601785
Current Pos:x=2326.4753889284516,y=5228.452746598332,orientation=-0.018726055178601785
Current Pos:x=2641.393866276189,y=5222.554876406166,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
Current Pos:x=2669.7365292374852,y=5222.024068088871,orientation=-0.018726055178601785
