InitShipPos : (120.0, 1728.0, ori=0.0) | ShipDeck : (5, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(1,2), Oar(2,2), Oar(3,2), Rudder(4,1), Watch(0,1), Sail(2,1)] | [CP{pos=(480.0, 1488.0)}, CP{pos=(800.0, 856.0)}, CP{pos=(120.0, 1488.0)}]
Ship(120.0, 1728.0, ori=0.0) | CP{pos=(480.0, 1488.0)} [{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:MOV,xd:2,yd:-1},{Si:4,T:OAR},{Si:2,T:MOV,xd:3,yd:0},{Si:2,T:OAR},
Ship(310.0, 1728.0, ori=0.0) | CP{pos=(480.0, 1488.0)} [{Si:2,T:MOV,xd:1,yd:-1},{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:5,T:OAR},{Si:1,T:USE_WATCH}]
Ship(386.2, 1672.8, ori=-1.31) | CP{pos=(480.0, 1488.0)} [{Si:2,T:TURN,rotation:-0.2617993877991487},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:1,T:USE_WATCH}]
Ship(401.2, 1560.8, ori=-1.57) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:4,T:OAR},{Si:1,T:USE_WATCH}]
Ship(356.8, 1538.1, ori=-3.93) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:MOV,xd:
Ship(294.7, 1686.4, ori=-4.71) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(294.7, 1851.4, ori=-4.71) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(279.3, 1871.8, ori=-3.4) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.061665395882712914},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(226.6, 1887.7, ori=-3.47) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(174.5, 1905.1, ori=-3.47) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(122.3, 1922.6, ori=-3.47) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.6095611164916344},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(68.2, 1923.8, ori=-2.86) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.026922785399081217},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(15.2, 1909.0, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-37.9, 1894.9, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-91.1, 1880.8, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-144.3, 1866.7, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-197.4, 1852.6, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-250.6, 1838.5, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-303.8, 1824.4, ori=-2.88) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
